City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,la ronge,55.1001,-105.2842,6.12,70,100,7.72,CA,1682461528
129,ryotsu,38.0833,138.4333,12.31,83,100,2.44,JP,1682461659
130,dali,25.7,100.1833,11.61,72,1,1.86,CN,1682461660
131,almeirim,-1.5233,-52.5817,24.58,92,90,1.44,BR,1682461660
132,yellowknife,62.456,-114.3525,6.29,52,75,5.66,CA,1682461470
133,gasa,31.5,34.4667,16.55,73,0,1.18,PS,1682461662
134,ahtopol,42.1,27.95,12.26,87,96,2.23,BG,1682461662
135,gagino,55.2314,45.0339,11.36,92,100,7.85,RU,1682461663
136,tunceli,39.1083,39.5471,10.69,49,8,1.67,TR,1682461664
137,maceio,-9.6658,-35.7353,25.69,94,75,1.54,BR,1682461664
138,geraldton,-28.7667,114.6,17.23,72,75,5.14,AU,1682460930
139,half moon bay,37.4636,-122.4286,28.82,62,0,7.72,US,1682461666
140,longyan,25.1072,117.0225,14.45,90,100,1.56,CN,1682461667
141,bathsheba,13.2167,-59.5167,24.34,94,75,2.57,BB,1682461667
142,bull savanna,17.8868,-77.5902,25.34,68,76,0.93,JM,1682461668
143,sibiti,-3.6819,13.3499,20.12,98,100,1.23,CG,1682461669
144,buala,-8.145,159.5921,28.22,76,84,2.12,SB,1682461669
145,planaltina,-15.4528,-47.6142,21.05,65,97,2.13,BR,1682461624
146,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1682460847
147,puri,19.8,85.85,25.29,81,64,2.76,IN,1682461671
148,cape town,-33.9258,18.4232,17.17,79,0,3.6,ZA,1682461551
149,jatibonico,21.9419,-79.17,28.59,53,70,1.01,CU,1682461672
150,college,64.8569,-147.8028,1.97,44,20,3.6,US,1682461519
151,port elizabeth,-33.918,25.5701,19.06,96,100,1.54,ZA,1682461795
152,nizhnyaya tavda,57.6731,66.1725,10.41,67,12,2.54,RU,1682461795
153,carnarvon,-24.8667,113.6333,16.66,66,0,6.85,AU,1682461796
154,quirinopolis,-18.4483,-50.4517,24.87,64,96,2.14,BR,1682461796
155,baherden,38.4362,57.4316,23.93,23,39,2.52,TM,1682461797
156,plettenberg bay,-34.0527,23.3716,16.32,87,58,0.92,ZA,1682461798
157,aljezur,37.3191,-8.8033,16.18,72,19,3.84,PT,1682461798
158,bredasdorp,-34.5322,20.0403,14.45,85,20,1.2,ZA,1682461446
159,touros,-5.1989,-35.4608,25.47,87,98,4.33,BR,1682461197
160,pacific grove,36.6177,-121.9166,24.8,75,0,3.09,US,1682461800
161,george,-33.963,22.4617,15.75,88,75,3.6,ZA,1682461378
162,horqueta,-23.3428,-57.0597,19.62,99,54,1.24,PY,1682461801
163,aklavik,68.2191,-135.0107,-11.57,73,71,3.54,CA,1682461803
164,saldanha,-33.0117,17.9442,13.03,81,45,5.17,ZA,1682461803
165,stykkisholmur,65.0757,-22.7297,-0.34,62,16,4.47,IS,1682461804
166,iqaluit,63.7506,-68.5145,-1.15,100,100,0.0,CA,1682461778
167,walvis bay,-22.9575,14.5053,18.53,77,0,2.57,NA,1682461806
168,lata,40.1629,-8.3327,16.56,95,30,0.82,PT,1682461807
169,synya,65.3718,58.0387,-10.18,98,53,1.55,RU,1682461807
170,husavik,66.0449,-17.3389,-1.83,68,86,1.78,IS,1682461808
171,batagay-alyta,67.8006,130.4114,-7.72,83,56,0.84,RU,1682461809
172,palmer,42.1584,-72.3287,13.81,47,75,3.6,US,1682461810
173,baiquan,47.5833,126.0833,5.36,23,11,2.09,CN,1682461811
174,makakilo city,21.3469,-158.0858,28.18,63,20,5.14,US,1682461811
175,broken hill,-31.95,141.4333,20.69,42,46,6.91,AU,1682461812
176,coquimbo,-29.9533,-71.3436,14.85,94,75,4.63,CL,1682461539
177,mitsamiouli,-11.3847,43.2844,27.42,69,16,3.4,KM,1682461813
178,mastic,40.802,-72.8409,14.4,64,40,2.68,US,1682461561
